"Date","DryBulb","RelHum"
"2016-07-01 12:05:00.0",25.8,90
"2016-07-01 12:10:00.0",26.3,82
"2016-07-01 12:15:00.0",28.3,83
"2016-07-01 12:20:00.0",25.5,80
"2016-07-01 12:25:00.0",28.7,84
"2016-07-01 12:30:00.0",26.9,81
"2016-07-01 12:35:00.0",24.6,85
"2016-07-01 12:40:00.0",26.6,83
"2016-07-01 12:45:00.0",25.2,84
"2016-07-01 12:50:00.0",25.7,85
"2016-07-01 12:55:00.0",24.6,84
"2016-07-01 13:00:00.0",28.5,76
"2016-07-01 13:05:00.0",26.6,73
"2016-07-01 13:10:00.0",26,74
"2016-07-01 13:15:00.0",26.7,75
"2016-07-01 13:20:00.0",28.1,72
"2016-07-01 13:25:00.0",27.9,77
"2016-07-01 13:30:00.0",26.9,70
"2016-07-01 13:35:00.0",27.5,80
"2016-07-01 13:40:00.0",26.5,80
"2016-07-01 13:45:00.0",27.3,74
"2016-07-01 13:50:00.0",26.6,73
"2016-07-01 13:55:00.0",27.1,72
"2016-07-01 14:00:00.0",28,70
"2016-07-01 14:05:00.0",26.6,72
"2016-07-01 14:10:00.0",28.9,70
"2016-07-01 14:15:00.0",29.3,71
"2016-07-01 14:20:00.0",27.1,65
"2016-07-01 14:25:00.0",26.8,66
"2016-07-01 14:30:00.0",28.1,63
"2016-07-01 14:35:00.0",30,67
"2016-07-01 14:40:00.0",27.4,60
"2016-07-01 14:45:00.0",27.3,69
"2016-07-01 14:50:00.0",30,64
"2016-07-01 14:55:00.0",29.5,58
"2016-07-01 15:00:00.0",27.8,61
"2016-07-01 15:05:00.0",27.5,59
"2016-07-01 15:10:00.0",30.1,58
"2016-07-01 15:15:00.0",28.4,59
"2016-07-01 15:20:00.0",28.2,56
"2016-07-01 15:25:00.0",28.1,54
"2016-07-01 15:30:00.0",29.9,62
"2016-07-01 15:35:00.0",30.5,56
"2016-07-01 15:40:00.0",30.2,59
"2016-07-01 15:45:00.0",30.7,56
"2016-07-01 15:50:00.0",28.2,56
"2016-07-01 15:55:00.0",27.8,51
"2016-07-01 16:00:00.0",29.2,54
"2016-07-01 16:05:00.0",30.3,56
"2016-07-01 16:10:00.0",29,55
"2016-07-01 16:15:00.0",30.1,57
"2016-07-01 16:20:00.0",29.1,56
"2016-07-01 16:25:00.0",29.5,51
"2016-07-01 16:30:00.0",31,54
"2016-07-01 16:35:00.0",29.3,57
"2016-07-01 16:40:00.0",27.9,51
"2016-07-01 16:45:00.0",30,59
"2016-07-01 16:50:00.0",28.9,57
"2016-07-01 16:55:00.0",29,61
"2016-07-01 17:00:00.0",27.8,58
"2016-07-01 17:05:00.0",30.8,60
"2016-07-01 17:10:00.0",28.4,55
"2016-07-01 17:15:00.0",31.2,54
"2016-07-01 17:20:00.0",29.9,57
"2016-07-01 17:25:00.0",28.5,57
"2016-07-01 17:30:00.0",30.9,63
"2016-07-01 17:35:00.0",30.2,61
"2016-07-01 17:40:00.0",27.4,56
"2016-07-01 17:45:00.0",29.3,57
"2016-07-01 17:50:00.0",28.5,59
"2016-07-01 17:55:00.0",30.1,57
"2016-07-01 18:00:00.0",26.9,61
"2016-07-01 18:05:00.0",27.3,63
"2016-07-01 18:10:00.0",28.4,60
"2016-07-01 18:15:00.0",27.7,58
"2016-07-01 18:20:00.0",29.1,65
"2016-07-01 18:25:00.0",28.3,60
